Ethnicity,Ethnicity_type,Time,Time_type,Georgraphy,Geography_type,Gender,Gender type,Age,Age Bracket Type,Highest qualification held,Qualification_type,Value,Value_type,Numerator,Denominator,upper 95%,lower 95%
Other,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,54.60%,%,219993,402927,58.40%,50.80%
Other than White ,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,55.40%,%,1260722,2273793,57%,53.90%
Unreported,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,69%,%,12650990,18345101,69.30%,68.70%
White,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,86%,%,9705609,11288802,86.30%,85.70%
Mixed,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,83.50%,%,113485,135900,88.50%,78.50%
Asian or Asian British,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,81%,%,791557,977500,82.90%,79%
Black or Black British,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,80.90%,%,335669,415124,83.90%,77.80%
Other,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,75.40%,%,283305,375552,78.90%,72%
Other than White ,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,80%,%,1524016,1904076,81.50%,78.60%
Unreported,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,85.10%,%,11236335,13201100,85.40%,84.80%
White,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,81.40%,%,4701598.5,5776442.5,81.80%,80.90%
Mixed,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,70.10%,%,50826,72456.5,78.80%,61.50%
Asian or Asian British,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,67.20%,%,151133.5,224832.5,72%,62.40%
Black or Black British,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,68.30%,%,91426,133860.5,74.90%,61.70%
Other,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,68.70%,%,38901,56618.5,78.20%,59.20%
Other than White ,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,68.10%,%,332286.5,487768,71.40%,64.80%
Unreported,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,80.40%,%,5034857,6265836.5,80.80%,79.90%
White,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,73.80%,%,4419184.5,5986097.5,74.30%,73.30%
Mixed,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,62.20%,%,38714,62242.5,71.50%,52.90%
Asian or Asian British,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,57.70%,%,154145.5,267241.5,62.30%,53%
Black or Black British,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,60.80%,%,80863,133059.5,67.50%,54%
Other,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,63.40%,%,37048,58463.5,72.90%,53.80%
Other than White ,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,59.60%,%,310770.5,521007,63%,56.30%
Unreported,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,72.70%,%,4731505,6509686.5,73.20%,72.20%
White,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,67.50%,%,2707786,4013367,68.10%,66.80%
Mixed,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,49.70%,%,20295,40869,62%,37.30%
Asian or Asian British,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,48%,%,97182,202589,53.40%,42.50%
Black or Black British,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,55.10%,%,52072,94435,63.30%,47%
Other,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,40.30%,%,20616,51216,51.20%,29.30%
Other than White ,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,48.90%,%,190165,389109,52.80%,44.90%
Unreported,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,65.80%,%,2898439,4403502,66.50%,65.20%
White,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,74.10%,%,1396261,1883261,75%,73.30%
Mixed,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,60.10%,%,167086,277877,64.60%,55.70%
Black or Black British,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,61.20%,%,59036,96386,69%,53.50%
Other,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,60.60%,%,77329,127671,67.20%,53.90%
Other than White ,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,61%,%,319172,523023,64.30%,57.80%
Unreported,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,71.30%,%,1716393,2408048,72.10%,70.50%
White,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,42.40%,%,1270301,2997253,43.10%,41.60%
Mixed,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,33.60%,%,10628,31647,47.20%,20%
Asian or Asian British,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,35.10%,%,124205,353992,38.80%,31.30%
Black or Black British,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,38.20%,%,39268,102816,45.70%,30.70%
Other,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,39.60%,%,41932,106020,46.70%,32.40%
Other than White ,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,36.30%,%,216033,594475,39.30%,33.40%
Unreported,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,41.40%,%,1486751,3593664,42.10%,40.70%
White,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,57.10%,%,44648,78140,62%,52.20%
Mixed,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Black or Black British,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other than White ,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Unreported,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,55.60%,%,52655,94764,60.20%,51%
White,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,75.70%,%,24245388,32023363,75.90%,75.50%
Mixed,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,68.40%,%,250704,366406,72.20%,64.60%
Asian or Asian British,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,64.40%,%,1489250,2310883,66%,62.90%
Black or Black British,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,67.40%,%,660393,979918,69.80%,65%
Other,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,64.30%,%,500103,777283,67%,61.70%
Other than White ,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,65.40%,%,2900450,4434490,66.50%,64.30%
Unreported,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2013,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,74.50%,%,27156935,36476601,74.70%,74.20%
White,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,89.80%,%,4952905,5514233,90.20%,89.40%
Mixed,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,87.60%,%,62884,71785,93.90%,81.30%
Asian or Asian British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,92.40%,%,510207,552419,94.10%,90.60%
Black or Black British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,84%,%,143827,171248,88.50%,79.40%
Other,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,88.30%,%,157430,178341,92.10%,84.40%
Other than White ,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,89.80%,%,874348,973793,91.30%,88.20%
Unreported,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,89.80%,%,5835242,6496933,90.20%,89.50%
White,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,85.30%,%,2712200.5,3177845,85.90%,84.80%
Mixed,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,78.70%,%,27333,34720,89.80%,67.60%
Asian or Asian British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,79.50%,%,100348.5,126165.5,85.30%,73.80%
Black or Black British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,77.40%,%,41695,53883.5,86.70%,68.10%
Other,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,79.40%,%,22904.5,28834,91.40%,67.50%
Other than White ,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,78.90%,%,192281,243603,83.10%,74.70%
Unreported,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,84.90%,%,2906850.5,3424883.5,85.40%,84.30%
White,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,80.40%,%,2296107.5,2854462,81.10%,79.80%
Mixed,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,66.30%,%,19034,28729,80.20%,52.30%
Asian or Asian British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,76%,%,97207.5,127853.5,81.80%,70.30%
Black or Black British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,65.80%,%,46557,70785.5,75.40%,56.20%
Other,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,73.40%,%,19422.5,26467,86.70%,60%
Other than White ,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,71.80%,%,182221,253835,76.20%,67.30%
Unreported,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,79.70%,%,2480355.5,3111579.5,80.40%,79.10%
White,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,76.40%,%,1463252,1914974,77.30%,75.50%
Mixed,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,66.10%,%,62812,95067,73.60%,58.50%
Black or Black British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,58.90%,%,30359,51556,70.70%,47.10%
Other,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other than White ,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,63.50%,%,123063,193832,69.10%,57.90%
Unreported,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,75.20%,%,1586724,2110397,76.10%,74.30%
White,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,81.40%,%,876840,1076908,82.50%,80.40%
Mixed,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,80.30%,%,123052,153269,85.30%,75.30%
Black or Black British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,77%,%,40991,53208,86.80%,67.30%
Other,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,74.90%,%,56118,74926,82.80%,67%
Other than White ,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,78.30%,%,229837,293543,82.10%,74.50%
Unreported,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,80.70%,%,1107688,1371767,81.70%,79.80%
White,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,49.90%,%,671573,1345777,51.10%,48.70%
Mixed,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,63.60%,%,95374,149892,69.60%,57.70%
Black or Black British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,44.60%,%,20317,45549,56.20%,33%
Other,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,55.70%,%,26663,47883,66.90%,44.50%
Other than White ,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,56.60%,%,147183,260035,61.30%,51.90%
Unreported,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,51%,%,819373,1606829,52.10%,49.90%
White,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,60.70%,%,30243,49863,67.10%,54.20%
Mixed,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Black or Black British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other than White ,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Unreported,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,58.60%,%,34639,59099,64.70%,52.60%
White,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,81.60%,%,13003121,15934062,81.90%,81.30%
Mixed,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,73.90%,%,138338,187112,79.10%,68.80%
Asian or Asian British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,82%,%,991266,1208834,83.70%,80.30%
Black or Black British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,72.40%,%,324814,448830,75.80%,68.90%
Other,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,78%,%,298484,382674,81.40%,74.60%
Other than White ,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,78.70%,%,1752902,2227450,80.10%,77.30%
Unreported,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,81.20%,%,14770872,18181488,81.50%,81%
